MODULE,FEATURE,TASK,COMPLEXITY,HOURS,DEPENDENCIES,NOTES
,,,,,,
"=== PHASE 1: FOUNDATION & INFRASTRUCTURE ===","","","","","",""
"1. Database & Models","Station Management","Tạo Station model và DbContext",Medium,3,"","Bảng Stations với AlertIntervalHours, IsMonitoringEnabled"
"1. Database & Models","Station Management","Tạo MotionEvents model",Low,2,"Station model","Lưu log chuyển động từ NVR"
"1. Database & Models","Station Management","Tạo AlertLogs model",Low,2,"Station model","Nhật ký cảnh báo"
"1. Database & Models","Station Management","Tạo MonitoringProfiles model",Medium,3,"","Cấu hình khung giờ giám sát"
"1. Database & Models","Station Management","Tạo MonitoringSchedule model",Medium,3,"MonitoringProfiles","Lịch trình theo ngày/giờ"
"1. Database & Models","Station Management","Seed data mẫu",Low,2,"All models","3 trạm mẫu với cấu hình"
"1. Database & Models","Station Management","Create migrations",Low,2,"All models","dotnet ef migrations add StationManagement"
"1. Database & Models","Station Management","SUBTOTAL Phase 1","-",17,"",""
,,,,,,
"=== PHASE 2: NVR INTEGRATION ===","","","","","",""
"2. NVR Integration","NVR Service","Tạo INvrService interface",Low,2,"","Abstraction cho Dahua NVR API"
"2. NVR Integration","NVR Service","Implement DahuaNvrService",High,8,"INvrService","SDK integration, event subscription"
"2. NVR Integration","NVR Service","HTTP API endpoint nhận motion event",Medium,4,"","Webhook từ NVR (POST /api/motion/event)"
"2. NVR Integration","NVR Service","Motion event parser & validator",Medium,3,"HTTP endpoint","Parse payload, validate camera/station"
"2. NVR Integration","NVR Service","Polling service (backup method)",Medium,5,"DahuaNvrService","Poll NVR mỗi 30s nếu webhook fail"
"2. NVR Integration","NVR Service","Connection health check",Low,3,"","Ping NVR, auto-reconnect"
"2. NVR Integration","NVR Service","Error handling & retry logic",Medium,4,"","Exponential backoff, circuit breaker"
"2. NVR Integration","NVR Service","SUBTOTAL Phase 2","-",29,"",""
,,,,,,
"=== PHASE 3: CORE MONITORING LOGIC ===","","","","","",""
"3. Monitoring Engine","Motion Detection","MotionDetectionService - SaveMotionEvent",Medium,4,"MotionEvents model","Lưu event vào DB, update LastMotionDetectedAt"
"3. Monitoring Engine","Motion Detection","MotionDetectionService - GetLatestMotion",Low,2,"","Query motion events by station"
"3. Monitoring Engine","Alert Generation","AlertGenerationService - CheckStations",High,8,"MonitoringProfiles","Job chạy mỗi 1 phút, check all stations"
"3. Monitoring Engine","Alert Generation","Alert rule evaluation logic",High,6,"MonitoringSchedule","Xác định khung giờ, tính toán threshold"
"3. Monitoring Engine","Alert Generation","Auto-resolve alerts khi có motion",Medium,4,"AlertLogs","Set ResolvedAt = NOW()"
"3. Monitoring Engine","Alert Generation","Alert notification service",Medium,5,"","Email/SMS notification (optional)"
"3. Monitoring Engine","Background Service","MotionMonitoringBackgroundService",Medium,5,"AlertGenerationService","Hosted service chạy continuous"
"3. Monitoring Engine","Background Service","Job scheduling & timing",Low,3,"","Quartz.NET hoặc Timer-based"
"3. Monitoring Engine","Background Service","Performance optimization",Medium,4,"","Batch processing, caching"
"3. Monitoring Engine","SUBTOTAL Phase 3","-",41,"",""
,,,,,,
"=== PHASE 4: CONFIGURATION MANAGEMENT ===","","","","","",""
"4. Configuration","Monitoring Profiles","MonitoringProfileService CRUD",Medium,5,"","Add/Edit/Delete profiles"
"4. Configuration","Monitoring Profiles","Schedule configuration UI logic",Medium,5,"","Khung giờ 0-23h, tần suất 1h/2h/3h"
"4. Configuration","Monitoring Profiles","Profile validation rules",Low,3,"","Validate overlap, conflict detection"
"4. Configuration","Station Config","StationService - CRUD operations",Medium,5,"","Manage stations"
"4. Configuration","Station Config","Enable/Disable monitoring toggle",Low,2,"","IsMonitoringEnabled flag"
"4. Configuration","Station Config","Audit log for config changes",Medium,4,"","Track who changed what when"
"4. Configuration","Station Config","SUBTOTAL Phase 4","-",24,"",""
,,,,,,
"=== PHASE 5: UI - DASHBOARD ===","","","","","",""
"5. Dashboard UI","Real-time Monitor","StationMonitoringDashboard.razor",High,8,"","Card layout, màu sắc status"
"5. Dashboard UI","Real-time Monitor","Station status calculation logic",Medium,4,"","🟢🔴⚪ based on LastMotion"
"5. Dashboard UI","Real-time Monitor","Auto-refresh every 10 minutes",Low,3,"","Timer-based refresh"
"5. Dashboard UI","Real-time Monitor","SignalR integration (optional)",High,6,"","Real-time updates without refresh"
"5. Dashboard UI","Station Detail","Station detail modal/page",Medium,5,"","Show recent motion history"
"5. Dashboard UI","Station Detail","Motion events timeline chart",Medium,5,"","Chart.js hoặc ApexCharts"
"5. Dashboard UI","Station Detail","Active alerts display",Low,3,"","List current active alerts"
"5. Dashboard UI","Alert List","AlertListComponent.razor",Medium,5,"","Table with filters"
"5. Dashboard UI","Alert List","Filter by station/date/status",Medium,4,"","Dropdown + date picker"
"5. Dashboard UI","Alert List","Pagination",Low,3,"","Server-side paging"
"5. Dashboard UI","SUBTOTAL Phase 5","-",46,"",""
,,,,,,
"=== PHASE 6: UI - CONFIGURATION ===","","","","","",""
"6. Configuration UI","Station Management","StationManagement.razor",Medium,6,"","CRUD table for stations"
"6. Configuration UI","Station Management","Add/Edit station modal",Medium,5,"","Form validation"
"6. Configuration UI","Station Management","Camera assignment dropdown",Low,3,"","Link station to camera"
"6. Configuration UI","Profile Config","MonitoringProfileConfig.razor",High,8,"","Time slot configuration UI"
"6. Configuration UI","Profile Config","Schedule builder component",High,8,"","Visual schedule editor (calendar-like)"
"6. Configuration UI","Profile Config","Interval selector (1h/2h/3h)",Low,2,"","Radio buttons hoặc dropdown"
"6. Configuration UI","Profile Config","Save & apply configuration",Medium,4,"","API call with validation"
"6. Configuration UI","Audit Log","ConfigAuditLog.razor",Medium,5,"","Display change history"
"6. Configuration UI","SUBTOTAL Phase 6","-",41,"",""
,,,,,,
"=== PHASE 7: REPORTS ===","","","","","",""
"7. Reports","Alert Reports","AlertReportService",Medium,5,"","Generate reports from AlertLogs"
"7. Reports","Alert Reports","AlertReport.razor page",Medium,6,"","Filter by date range, station"
"7. Reports","Alert Reports","Excel export functionality",Medium,5,"","EPPlus hoặc ClosedXML"
"7. Reports","Motion Reports","MotionFrequencyReport.razor",Medium,6,"","Chart số lần motion/ngày"
"7. Reports","Motion Reports","Station comparison chart",Medium,5,"","So sánh giữa các trạm"
"7. Reports","Motion Reports","Export to PDF (optional)",Low,4,"","iTextSharp"
"7. Reports","SUBTOTAL Phase 7","-",31,"",""
,,,,,,
"=== PHASE 8: API CONTROLLERS ===","","","","","",""
"8. API","Motion API","MotionController - POST /motion/event",Medium,4,"","Webhook endpoint"
"8. API","Motion API","MotionController - GET /motion/history",Low,3,"","Query motion events"
"8. API","Station API","StationController CRUD",Medium,5,"","REST endpoints"
"8. API","Alert API","AlertController - GET /alerts",Low,3,"","List alerts with filters"
"8. API","Alert API","AlertController - POST /alerts/resolve",Low,2,"","Manual resolve"
"8. API","Config API","ConfigController - Profiles",Medium,4,"","Manage monitoring profiles"
"8. API","Config API","ConfigController - Schedules",Medium,4,"","Manage schedules"
"8. API","Report API","ReportController - Excel export",Medium,4,"","Download reports"
"8. API","SUBTOTAL Phase 8","-",29,"",""
,,,,,,
"=== PHASE 9: TESTING & QA ===","","","","","",""
"9. Testing","Unit Tests","Service layer unit tests",Medium,12,"","Mock dependencies, test logic"
"9. Testing","Unit Tests","Controller unit tests",Low,8,"","Test API endpoints"
"9. Testing","Integration Tests","NVR integration testing",High,8,"","Test with real/mock NVR"
"9. Testing","Integration Tests","Background service testing",Medium,6,"","Test alert generation timing"
"9. Testing","Integration Tests","Database integration tests",Low,4,"","Test queries, migrations"
"9. Testing","E2E Tests","UI automation tests (Selenium)",Medium,8,"","Test critical user flows"
"9. Testing","Manual QA","Manual testing & bug fixes",High,16,"","Full system testing"
"9. Testing","Performance","Load testing & optimization",Medium,8,"","Test với nhiều trạm, events"
"9. Testing","SUBTOTAL Phase 9","-",70,"",""
,,,,,,
"=== PHASE 10: DEPLOYMENT & DOCS ===","","","","","",""
"10. Deployment","Setup","Server setup & configuration",Medium,8,"","IIS/Linux server"
"10. Deployment","Setup","Database deployment scripts",Low,4,"","Migration scripts"
"10. Deployment","Setup","NVR connection configuration",Medium,4,"","Network setup, firewall"
"10. Deployment","Documentation","User manual (Vietnamese)",Medium,12,"","Hướng dẫn sử dụng"
"10. Deployment","Documentation","Admin guide",Medium,8,"","Cấu hình hệ thống"
"10. Deployment","Documentation","API documentation",Low,6,"","Swagger/OpenAPI"
"10. Deployment","Documentation","Technical documentation",Medium,8,"","Architecture, deployment"
"10. Deployment","Training","User training","-",16,"","2 sessions x 8h"
"10. Deployment","SUBTOTAL Phase 10","-",66,"",""
,,,,,,
"=== SUMMARY ===","","","","","",""
"TOTAL DEVELOPMENT HOURS","","","-",394,"",""
"CONTINGENCY (20%)","","","-",79,"","Buffer cho rủi ro"
"GRAND TOTAL HOURS","","","-",473,"",""
,,,,,,
"=== TIMELINE ESTIMATE ===","","","","","",""
"Team Size: 2 developers","","","","","",""
"Working hours/day: 7h","","","","","",""
"Working days: 473 / (2 * 7) = 34 days","","","","","",""
"Calendar time: ~7 weeks (1.75 months)","","","","","",""
,,,,,,
"=== COST ESTIMATE (Optional) ===","","","","","",""
"Assuming rate: $40/hour","","","","","",""
"Total cost: 473 × $40 = $18,920","","","","","",""
